# timestamp, jointType, position.X, position.Y, position.Z, orientation.X, orientation.Y, orientation.Z, orientation.W, state
14299.9396, 0, 0.1140982, -0.3475412, 2.203047, 0.1631, 0.9809756, -0.08554664, 0.06137699, 2
14299.9396, 1, 0.2144233, -0.06457488, 2.158175, 0.1642723, 0.9817333, -0.08327341, 0.04774821, 2
14299.9396, 2, 0.317182, 0.2081998, 2.097821, 0.1721013, 0.976514, -0.1269146, 0.02634909, 2
14299.9396, 3, 0.4602133, 0.3089409, 2.093362, 0, 0, 0, 0, 2
14299.9396, 4, 0.1371158, 0.1656314, 2.09789, -0.6408779, 0.7589337, -0.1078331, -0.04083225, 2
14299.9396, 5, -0.07240263, -0.01501411, 2.130674, 0.8648018, -0.4142873, -0.2763077, -0.06432579, 2
14299.9396, 6, -0.1430439, -0.234926, 2.077256, 0.866474, -0.1878904, 0.4615449, -0.02993758, 2
14299.9396, 7, -0.1444476, -0.2503598, 2.097801, 0.8459542, 0.1159897, 0.2902171, 0.432067, 1
14299.9396, 8, 0.3928517, 0.01181945, 2.138147, 0.9431825, 0.3206906, -0.02824189, 0.08225999, 2
14299.9396, 9, 0.4252822, -0.2423126, 2.17121, 0.7844989, 0.08923361, 0.6135634, 0.01178556, 2
14299.9396, 10, 0.4287066, -0.468356, 2.101242, 0.4976042, -0.1255173, 0.8543897, -0.08157066, 2
14299.9396, 11, 0.403804, -0.5612637, 2.095799, 0.5276937, -0.09356385, 0.8388805, 0.09520873, 2
14299.9396, 12, 0.04608961, -0.3212126, 2.157227, -0.529556, 0.8001905, -0.2583068, 0.1119965, 2
14299.9396, 13, 0.06792945, -0.6485118, 2.171291, 0.7557981, 0.01115568, -0.6536069, 0.03798565, 2
14299.9396, 14, 0.05542503, -0.9899611, 2.207004, 0.7276721, -0.04892957, -0.683704, 0.02545734, 2
14299.9396, 15, 0.06119185, -1.01474, 2.105246, 0, 0, 0, 0, 2
14299.9396, 16, 0.1780538, -0.363417, 2.17782, 0.7677855, 0.6123645, -0.1516709, -0.1118519, 2
14299.9396, 17, 0.2249796, -0.6767256, 2.161499, 0.6358443, 0.0274465, 0.7678096, -0.07360096, 2
14299.9396, 18, 0.2369332, -0.9961147, 2.202934, 0.6971458, 0.0590775, 0.7137868, 0.03171913, 2
14299.9396, 19, 0.2400615, -1.020862, 2.101364, 0, 0, 0, 0, 2
14299.9396, 20, 0.2918817, 0.1411459, 2.115445, 0.1734399, 0.9789748, -0.1028904, 0.0306681, 2
14299.9396, 21, -0.1440568, -0.2831163, 2.092109, 0, 0, 0, 0, 2
14299.9396, 22, -0.1252161, -0.2357859, 2.058818, 0, 0, 0, 0, 2
14299.9396, 23, 0.3792023, -0.6354295, 2.08334, 0, 0, 0, 0, 2
14299.9396, 24, 0.4584854, -0.5732105, 2.115214, 0, 0, 0, 0, 2
14332.8511, 0, 0.1148226, -0.3491365, 2.204656, 0.2010054, 0.9729338, -0.09290636, 0.06606985, 2
14332.8511, 1, 0.236064, -0.07806662, 2.158305, 0.2017137, 0.9734129, -0.09135824, 0.05858774, 2
14332.8511, 2, 0.3680548, 0.1800105, 2.092841, 0.2028095, 0.96849, -0.1389888, 0.03971805, 2
14332.8511, 3, 0.4686622, 0.3031818, 2.093018, 0, 0, 0, 0, 2
14332.8511, 4, 0.1726203, 0.1528278, 2.089174, -0.6118866, 0.7795243, -0.1238216, -0.0510365, 2
14332.8511, 5, -0.06484393, 0.002846777, 2.128484, 0.8448777, -0.4831193, -0.2249568, -0.04660462, 2
14332.8511, 6, -0.1397112, -0.2172423, 2.08367, 0.7450848, -0.1848891, 0.6400418, 0.03180059, 2
14332.8511, 7, -0.1419249, -0.2395631, 2.10018, 0.7263127, 0.168981, 0.6108835, 0.2659634, 2
14332.8511, 8, 0.4045292, -0.00445794, 2.141765, 0.9626409, 0.2443643, -0.01432251, 0.1157736, 2
14332.8511, 9, 0.4250022, -0.2426375, 2.17121, 0.8467388, 0.06856407, 0.526745, 0.02953354, 2
14332.8511, 10, 0.4027306, -0.4709321, 2.114753, 0.489746, -0.1282699, 0.8621862, -0.01818473, 2
14332.8511, 11, 0.3977049, -0.5659537, 2.100751, 0.4919417, -0.07643412, 0.8671656, -0.01323212, 2
14332.8511, 12, 0.04676507, -0.3216117, 2.158182, -0.5180745, 0.8057877, -0.2705616, 0.0954023, 2
14332.8511, 13, 0.06836082, -0.6492134, 2.172939, 0.7624725, 0.01056981, -0.6457937, 0.03839713, 2
14332.8511, 14, 0.05459338, -0.9886901, 2.20685, 0.7354806, -0.04850793, -0.6754165, 0.02297252, 2
14332.8511, 15, 0.06250409, -1.015014, 2.10621, 0, 0, 0, 0, 2
14332.8511, 16, 0.1787747, -0.366522, 2.180126, 0.7764071, 0.6034964, -0.1421331, -0.113059, 2
14332.8511, 17, 0.2248883, -0.6788282, 2.163463, 0.6233279, 0.02510745, 0.778082, -0.073622, 2
14332.8511, 18, 0.2374612, -0.9963911, 2.20401, 0.6900803, 0.05940484, 0.7206807, 0.02965627, 2
14332.8511, 19, 0.2427155, -1.022672, 2.103564, 0, 0, 0, 0, 2
14332.8511, 20, 0.3382102, 0.1150492, 2.111545, 0.2311248, 0.9643209, -0.1199579, 0.0477151, 2
14332.8511, 21, -0.1495179, -0.2770167, 2.102398, 0, 0, 0, 0, 2
14332.8511, 22, -0.1160985, -0.2392706, 2.0865, 0, 0, 0, 0, 2
14332.8511, 23, 0.370507, -0.6395506, 2.09037, 0, 0, 0, 0, 2
14332.8511, 24, 0.4541042, -0.5642747, 2.129625, 0, 0, 0, 0, 2
14365.8512, 0, 0.1164222, -0.350219, 2.205495, 0.2021212, 0.9728197, -0.09388933, 0.06287763, 2
